kode_kbji,uraian
2111,Ahli Fisika Dan Astronomi
0111,Perwira Markas Besar TNI
2112,Ahli Meteorologi Dan Klimatologi
0112,Perwira TNI Angkatan Darat
2113,Ahli Kimia
0113,Perwira TNI Angkatan Laut
2114,Ahli Geologi Dan Geofisika
0114,Perwira TNI Angkatan Udara
2120,"Ahli Matematika, Aktuaria Dan Statistika"
0115,Perwira POLRI
2131,"Ahli Biologi, Botani, Zoologi Dan YBDI"
0211,Bintara Markas Besar TNI
2132,"Penasihat Pertanian, Kehutanan Dan Perikanan"
0212,Bintara TNI Angkatan Darat
2133,Ahli Perlindungan Lingkungan
0213,Bintara TNI Angkatan Laut
2141,Ahli Teknik Industri Dan Produksi
0214,Bintara TNI Angkatan Udara
2142,Ahli Teknik Sipil
0215,Bintara POLRI
2143,Ahli Teknik Lingkungan
0311,Tamtama Markas Besar TNI
2144,Ahli Teknik Mekanika
0312,Tamtama TNI Angkatan Darat
2145,Ahli Teknik Kimia
0313,Tamtama TNI Angkatan Laut
2146,"Ahli Teknik Pertambangan, Metalurgi Dan YBDI"
0314,Tamtama TNI Angkatan Udara
2149,Ahli Teknik Lain YTDL
0315,Tamtama POLRI
2151,Ahli Teknik Listrik
2152,Ahli Teknik Elektronik
2153,Ahli Teknik Telekomunikasi
2161,Arsitek Bangunan
2162,Arsitek Pertamanan/Lansekap
2163,Perancang Produk Dan Pakaian Jadi
1111,Pejabat Pembuat Peraturan Perundang-undangan
2164,Perencana Tata Kota Dan Lalu Lintas
1112,Pejabat Tinggi Pemerintah
2165,Ahli Pemetaan Dan Surveyor
1113,Ketua Adat Dan Kepala Wilayah
2166,Perancang Grafis Dan Multimedia
1114,Pimpinan Organisasi Bidang Khusus
2211,Praktisi Dokter Umum
1120,Pimpinan Eksekutif Dan Direktur Pelaksana
2212,Praktisi Dokter Spesialis
1211,Manajer Keuangan
2221,Profesional Keperawatan
1212,Manajer Sumber Daya Manusia
2222,Profesional Kebidanan
1213,Manajer Perencanaan Dan Kebijakan
2230,Profesional Pengobatan Tradisional Dan Komplementer
1219,Manajer Pelayanan Bisnis Dan Administrasi Bisnis YTDL
2240,Praktisi Paramedis
1221,Manajer Penjualan Dan Pemasaran
2250,Dokter Hewan
1222,Manajer Periklanan Dan Hubungan Masyarakat
2261,Dokter Gigi
1223,Manajer Penelitian Dan Pengembangan
2262,Apoteker
1311,Manajer Produksi Pertanian Dan Kehutanan
2263,Ahli Kesehatan Dan Kebersihan Lingkungan Kerja
1312,Manajer Produksi Penangkapan Dan Budidaya Ikan
2264,Ahli Fisioterapi
1321,Manajer Manufaktur
2265,Ahli Diet Dan Gizi
1322,Manajer Pertambangan Dan Penggalian
2266,Ahli Terapi Pendengaran Dan Terapi Bicara
1323,Manajer Konstruksi
2267,Ahli Optometrik Dan Optik Oftalmik
1324,"Manajer Pengadaan, Distribusi Dan YBDI"
2269,Ahli Kesehatan YTDL
1330,Manajer Layanan Teknologi Informasi Dan Komunikasi
2310,Dosen Universitas Dan Pendidikan Tinggi
1341,Manajer Jasa Penitipan Anak
2320,Pengajar Pendidikan Kejuruan
1342,Manajer Jasa Kesehatan
2330,Guru Pendidikan Menengah
1343,Manajer Jasa Perawatan Lansia
2341,Guru Sekolah Dasar
1344,Manajer Kesejahteraan Sosial
2342,Guru Anak Usia Dini
1345,Manajer Pendidikan
2351,Spesialis Metode Pendidikan
1346,Manajer Jasa Keuangan Dan Asuransi
2352,Guru Siswa Berkebutuhan Khusus
1349,Manajer Jasa Profesional Lainnya
2353,Guru Kursus Bahasa
1411,Manajer Hotel
2354,Guru Kursus Musik
1412,Manajer Penyediaan Makanan Dan Minuman
2355,Guru Kursus Seni
1420,Manajer Perdagangan Besar Dan Eceran
2356,Pengajar Teknologi Informasi
1431,"Manajer Pusat Olahraga, Rekreasi Dan Budaya"
2359,Profesional Bidang Pendidikan Lainnya YTDL
1439,Manajer Jasa Lainnya YTDL
2411,Akuntan
2412,Konsultan Keuangan Dan Investasi
2413,Analis Keuangan
2421,Analis Manajemen Dan Organisasi 3133 Pengawas Mesin Pengolahan Bahan Kimia
2422,Profesional Kebijakan Administrasi 3134 Pengawas Mesin Pengilangan Minyak Bumi Dan Gas Alam
2423,Profesional Personalia Dan Karir 3135 Pengawas Proses Produksi Logam
2424,Profesional Pelatihan Dan Pengembangan Staf 3139 Teknisi Proses Kontrol YTDL
2431,Profesional Periklanan Dan Pemasaran 3141 Teknisi Ilmu Hayati (Selain Kedokteran)
2432,Profesional Hubungan Masyarakat 3142 Teknisi Pertanian
2433,Profesional Penjualan Produk Teknik Dan Kesehatan 3143 Teknisi Kehutanan
3151,Teknisi Kapal
2434,Profesional Penjualan Produk Teknologi Komunikasi Dan
